"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",NA,NA,NA,"August 18, 2020",NA,"University of Florida",NA,NA,NA,"Small business owner"
"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,"Pentecostal",NA
"299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",NA,NA,NA,"August 18, 2020",NA,"Florida State University, 2007",NA,NA,"Catholic",NA
"303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",NA,NA,NA,"August 18, 2020",NA,"University of Florida","U.S. Army",NA,"Christian","Teacher"
"305",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,"Christian",NA
"306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","$174,000",NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,NA
"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",NA,NA,NA,NA,NA,"University of Wisconsin, Milwaukee, 2010",NA,NA,"Christian","Business executive"
"310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",NA,NA,NA,"August 18, 2020",NA,"Florida State University, 1984",NA,NA,"Catholic",NA
"312",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian",NA
"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","$174,000",NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,NA
"318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",NA,NA,NA,"August 18, 2020",NA,"University of Central Florida, 2014",NA,NA,"Agnostic","Educator"
"320","$174,000",NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,NA
"321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",NA,NA,NA,"August 18, 2020",NA,"Wright State University, 1985",NA,NA,"Reformed Presbyterian",NA
"324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Management"
"329",NA,NA,NA,NA,"Eastern Florida State College, 2004","Eastern Florida State College, 2016",NA,NA,NA,NA
"330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","$174,000",NA,"November 6, 2018","August 18, 2020",NA,"Rutgers College, 2000",NA,NA,"Christian","Attorney"
"336",NA,NA,NA,"August 18, 2020",NA,"Harvard University",NA,NA,"Jewish",NA
"337",NA,NA,NA,"August 18, 2020",NA,"University of New Orleans",NA,NA,NA,"Hospitality management"
"338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",NA,NA,NA,"August 18, 2020",NA,"Orlando College",NA,NA,"Christian","Banker"
"340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",NA,NA,NA,NA,NA,NA,NA,NA,"Non Denominational","Writer"
"346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hospitality professional & children's book author"
"348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","$174,000","(2012) $445,518","November 6, 2018","August 18, 2020","St. Petersburg Junior College","University of Florida",NA,NA,NA,"Attorney"
"351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",NA,NA,NA,"August 18, 2020",NA,NA,"U.S. Army",NA,"Christian: Baptist","Software engineer"
"353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","$174,000",NA,"November 6, 2018","August 18, 2020",NA,"Florida State University",NA,NA,"Christian: Methodist","Attorney"
"355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",NA,NA,NA,"August 18, 2020",NA,"University of South Florida",NA,NA,NA,"Consultant"
"358",NA,NA,NA,"August 18, 2020",NA,"University of West Florida, 2017","U.S.Air Force",NA,NA,NA
"359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",NA,NA,NA,"August 18, 2020",NA,"Illinois State University, 1967",NA,NA,"Christian","Small business owner"
"361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",NA,NA,NA,NA,NA,"Liberty University","United States Army","1992 - 2012",NA,"Small business owner"
"363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",NA,NA,NA,NA,NA,"Campbell University, 2003","United States Army Special Forces","1983 - 2004",NA,"Attorney"
"367","$174,000",NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,"Attorney"
"368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",NA,NA,NA,"August 18, 2020",NA,"Hofstra University",NA,NA,"Jewish","Investigative reporter"
"371",NA,NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,NA
"372",NA,NA,NA,NA,NA,"Temple University",NA,NA,NA,NA
"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","$174,000","(2012) $88,802,066.50","November 6, 2018","August 18, 2020",NA,"Cleary University","United States Air National Guard","1969 - 1975","Christian: Baptist","Automobile Dealer"
"376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",NA,NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,"Episcopalian","Attorney"
"378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",NA,NA,NA,"August 18, 2020",NA,"Florida Southern College, 2007",NA,NA,"Christian","Corporate Development Professional"
"381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","$174,000",NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,NA
"383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","$29,697/year",NA,"November 6, 2018","August 18, 2020",NA,"Florida State University, 2002",NA,NA,NA,"Commercial Credit Officer/Portfolio Manager"
"390","$29,697/year",NA,"November 6, 2018","August 18, 2020",NA,"University of Florida, 2005",NA,NA,NA,NA
"391",NA,NA,NA,"August 18, 2020",NA,"Wake Forest University",NA,NA,NA,NA
"392","$29,697/year",NA,"November 6, 2018","August 18, 2020",NA,"Hollins University",NA,NA,NA,NA
"393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",NA,NA,NA,"August 18, 2020",NA,"Florida Gulf Coast University, 2016",NA,NA,"Catholic",NA
"395",NA,NA,NA,NA,NA,"Swathmore College, 2000",NA,NA,"Episcopalian","Businessman"
"396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","$174,000","(2012) $-4,732,002.50","November 6, 2018","August 18, 2020",NA,"Howard University",NA,NA,"African Methodist Episcopal","Attorney, Judge"
"399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,"Christian: Baptist","Welding inspector"
"405","$174,000","(2012) $2,461,137","November 6, 2018","August 18, 2020",NA,"Boston University",NA,NA,"Jewish","Attorney"
"406",NA,NA,NA,"August 18, 2020",NA,"American University","U.S. Navy",NA,"Jewish","Legislative director"
"407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,NA,"Business"
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,"Catholic",NA
"411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",NA,NA,NA,NA,NA,"University of Minnesota, Twin Cities",NA,NA,NA,"Self-Employed"
"424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,"Jewish","Attorney"
"429",NA,NA,NA,"August 18, 2020",NA,NA,"United State Air Force",NA,"Christian","Entrepreneur"
"430",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Author"
"431",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,"Pentecostal",NA
"432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","$174,000","-$24,50","November 6, 2018","August 18, 2020",NA,"University of South Florida",NA,NA,"Christian: Catholic","Political Assistant"
"440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","$174,000",NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,NA
"444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",NA,NA,NA,"August 18, 2020",NA,"Barry University",NA,NA,NA,"Firefighter"
"446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","$174,000",NA,"November 6, 2018","August 18, 2020",NA,NA,NA,NA,NA,NA
"448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450",NA,NA,NA,"August 18, 2020",NA,"University of Havana, 1957",NA,NA,"Christian","Real estate"
"451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453",NA,NA,NA,"August 18, 2020",NA,"University of Miami, 1983",NA,NA,NA,"Television Journalist"
"454",NA,NA,NA,NA,NA,NA,NA,NA,"Christian","Entrepreneur"
"455","$174,000",NA,"November 6, 2018","June 9, 2020","Young Harris College","University of Georgia, 1980",NA,NA,"Christian: Baptist","Pharmacist"
"456",NA,NA,NA,"June 9, 2020","Valley Forge Military College, 2005","University of Connecticut, 2007","United States Army",NA,"Catholic","Business owner"
"457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459",NA,NA,NA,"June 9, 2020",NA,"Moravian College",NA,NA,NA,"Corrections officer"
"460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","$174,000","(2012) $56,503","November 6, 2018","June 9, 2020",NA,"Morehouse College","United States Army","1969 - 1971","Christian: Baptist","Attorney"
"462",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,"Principal/Teacher/Athletic Director"
"463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","$174,000",NA,"November 6, 2018","June 9, 2020",NA,NA,NA,NA,NA,NA
"465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","$174,000","(2012) $8,000.50","November 6, 2018","June 9, 2020",NA,"Clark Atlanta University",NA,NA,"Buddhist","Attorney"
"467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian",NA
"469",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian: Baptist","Administrative assistant"
"470","$174,000","(2012) $72,004.50","November 6, 2018","June 9, 2020",NA,"Fisk University",NA,NA,"Christian: Baptist","Civil Rights Leader, Political Consultant"
"471",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"472",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"473","$174,000",NA,"November 6, 2018","June 9, 2020",NA,NA,NA,NA,NA,NA
"474",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian: Nondenominational","Vice president of operations"
"475","$174,000/year",NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"476",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian","Sales"
"477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481",NA,NA,NA,"June 9, 2020",NA,"Morehouse College",NA,NA,NA,NA
"482",NA,NA,NA,"June 9, 2020",NA,"Georgia State University, 2012",NA,NA,"Islam",NA
"483",NA,NA,"November 6, 2018","June 9, 2020",NA,NA,NA,NA,NA,NA
"484","$17,342/year",NA,"November 6, 2018","June 9, 2020",NA,NA,NA,NA,NA,NA
"485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian",NA
"487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","$17,342/year",NA,"November 6, 2018","June 9, 2020",NA,"University of Georgia",NA,NA,NA,"Insurance Executive"
"492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","$174,000","(2012) $1,975,741","November 6, 2018","June 9, 2020",NA,"University of Georgia",NA,NA,"Christian: Baptist","Business executive"
"494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495",NA,NA,NA,"June 9, 2020",NA,NA,"U.S. Army","2001 - 2017","Christian",NA
"496",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498",NA,NA,NA,"June 9, 2020",NA,NA,"U.S. Army","1993 - 2014","Christian",NA
"499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Christian","Crane Operator"
"502",NA,"(2012) $303,507",NA,"June 9, 2020",NA,"University of Georgia, 1967",NA,NA,"Christian: Baptist","Doctor"
"503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","$17,342/year",NA,"November 6, 2018","June 9, 2020",NA,NA,NA,NA,NA,NA
"505",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"506","$17,342/year",NA,"November 6, 2018","June 9, 2020",NA,NA,NA,NA,NA,NA
"507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","$17,342/year",NA,"November 6, 2018","June 9, 2020",NA,NA,NA,NA,NA,"Educator/Farmer"
"510","$174,000",NA,"November 6, 2018","June 9, 2020",NA,"Asbury College",NA,NA,"Christian: Baptist","Pastor and radio talk show host"
"511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","$174,000",NA,"November 6, 2018","June 9, 2020",NA,"Wayland Baptist University","United States Air Force","1984 - 1992",NA,NA
"514",NA,NA,NA,"June 9, 2020",NA,"Cornell University, 1988",NA,NA,NA,NA
"515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","$174,000",NA,"November 6, 2018","June 9, 2020",NA,"Auburn University School of Architecture, 1973",NA,NA,"Christian: Methodist","Architect"
"517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","$174,000","(2012) $758,001","November 6, 2018","June 9, 2020",NA,"Florida A&M University",NA,NA,"Christian: Baptist","Advertising Executive"
"520",NA,NA,NA,"June 9, 2020",NA,"North Carolina A&T State University","United States Marine Corps",NA,NA,NA
"521",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,"Catholic",NA
"522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523",NA,NA,NA,"June 9, 2020",NA,"Kennesaw State University, 2018",NA,NA,"Catholic",NA
"524",NA,NA,NA,"June 9, 2020",NA,"State University of West Georgia, 1986-08",NA,NA,"Baptist","Financial Analyst"
"525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526",NA,NA,NA,"June 9, 2020",NA,"Berry College, 1988",NA,NA,NA,NA
"527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","$17,342/year",NA,"November 6, 2018","June 9, 2020",NA,"University of Georgia, 2003",NA,NA,"Christian","Real estate appraiser"
"529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532",NA,NA,NA,"June 9, 2020","Troy University, 1994","University of West Georgia, 2004","United States Army","1981 - 2002","Christian","Business owner"
"533",NA,NA,NA,"June 9, 2020","University in Providence Rhode Island","Johnson and Wales University, 1989",NA,NA,"Christian: Baptist","Real Estate Manager"
"534",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,"Business owner"
"535","$174,000",NA,"November 6, 2018","August 8, 2020",NA,"Williams College, 1975",NA,NA,NA,"Attorney"
"536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",NA,NA,NA,"August 8, 2020",NA,NA,NA,NA,"Catholic",NA
"539","$61,380/year",NA,"November 6, 2018","August 8, 2020",NA,NA,NA,NA,NA,NA
"540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"544",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,"Christian",NA
"545","$25,000/year",NA,"November 6, 2018","June 2, 2020",NA,"University of Southern California",NA,NA,"Christian",NA
"546","$25,000/year",NA,NA,"June 2, 2020",NA,"University of Northern Iowa",NA,NA,NA,NA
"547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551",NA,NA,NA,"June 2, 2020",NA,"Black Hawk College",NA,NA,"Christian: Catholic","Restaurant owner"
"552","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"University of Iowa",NA,NA,NA,NA
"553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","$174,000/year",NA,NA,"June 2, 2020",NA,"Drake University",NA,NA,"Christian","Congressional affairs"
"555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","$174,000","(2012) $361,008","November 6, 2018","June 2, 2020",NA,NA,NA,NA,"Christian: Catholic","Business owner"
"557","$25,000/year",NA,"November 8, 2016","June 2, 2020",NA,"Dordt College",NA,NA,NA,NA
"558",NA,NA,NA,"June 2, 2020",NA,"University of Nebraska, Lincoln, 1983",NA,NA,"Christian",NA
"559",NA,NA,NA,"June 2, 2020",NA,"University of Iowa","U.S. Army",NA,NA,"Business owner"
"560",NA,NA,NA,"June 2, 2020","Cochise College","Dowling College",NA,NA,NA,"Intelligence Analyst, Iowa National Guard"
"561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"Boise State University, 1984",NA,NA,NA,"Commercial Agent, Mark Bottles Real Estate"
"563",NA,NA,NA,"June 2, 2020",NA,"Boise State University",NA,NA,NA,"Entrepreneur"
"564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Data engineer"
"567","$174,000","(2012) $1,960,562","November 6, 2018","June 2, 2020",NA,"Utah State University",NA,NA,"The Church of Jesus Christ of Latter-day Saints (Mormon)","Dentist"
"568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"570",NA,NA,NA,"November 3, 2020",NA,"Brigham Young University",NA,NA,NA,NA
"571",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"572","$174,000","(2012) $375,000.50","November 6, 2018","November 3, 2020",NA,"Roosevelt University, University of Illinois, Chicago","United States Army","1963 - 1968","Christian: Baptist","Insurance Agent, Civil Rights Leader"
"573",NA,NA,NA,"November 3, 2020",NA,"Lewis University",NA,NA,NA,NA
"574",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576",NA,NA,NA,"November 3, 2020",NA,"Governors State University",NA,NA,"Protestant",NA
"577",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"578",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"579","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"University of Illinois, Chicago",NA,NA,NA,NA
"580",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","$174,000","(2012) $-32,500.50","November 6, 2018","November 3, 2020",NA,"Roosevelt University",NA,NA,"Christian: Catholic","Attorney"
"583",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"584","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"585","$67,836/year",NA,NA,"November 3, 2020",NA,"United States Military Academy, 1987","United States Army",NA,"Christian: Catholic",NA
"586","$174,000","(2012) $253,007","November 6, 2018","November 3, 2020",NA,"Arkansas AM&N College, 1961",NA,NA,"Christian: Baptist","Educator"
"587",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"588",NA,NA,NA,"November 3, 2020",NA,"Northern Illinois University, 2012-05",NA,NA,"Christian",NA
"589","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"Princeton University, 1995",NA,NA,NA,NA
"590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","$174,000","(2012) $236,012.50","November 6, 2018","November 3, 2020",NA,"University of Illinois, Urbana-Champaign",NA,NA,"Reform Judaism","Non-Profit Program Director"
"592",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"593","$174,000","(2012) $21,516,351.50","November 6, 2018","November 3, 2020",NA,"Northwestern University",NA,NA,"Jewish","Strategic Management Consultant"
"594",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"595",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597",NA,NA,NA,"November 3, 2020",NA,"University of St. Francis","U.S. Army","1992 - 2000","Christian","Police sergeant"
"598","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,"United States Marine Corps","1979 - 1982","Christian: Baptist",NA
"599",NA,NA,NA,NA,NA,"The Citadel, The Military College of South Carolina, 2006-05","U.S. Army","2002 - 2019","Christian","Insurance Agent"
"600",NA,NA,NA,"November 3, 2020",NA,"Southern Illinois University, Carbondale",NA,NA,NA,NA
"601",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"602","$174,000","(2012) $245,010","November 6, 2018","November 3, 2020",NA,"Millikin University",NA,NA,"Christian: Catholic",NA
"603",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"604","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"University of Michigan, 2008",NA,NA,NA,"Nurse"
"605","$67,836/year",NA,"November 8, 2016","November 3, 2020",NA,"University of Illinois, Urbana-Champaign",NA,NA,"Christian: Catholic","Chairman, Oberweis Dairy"
"606",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"607",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"608","$174,000","(2012) $188,503","November 6, 2018","November 3, 2020",NA,"Illinois State University","United States Air Force","2003 - 2010","Christian: Protestant","U.S. Air Force Pilot"
"609",NA,NA,NA,"November 3, 2020",NA,"Purdue University",NA,NA,NA,NA
"610","$174,000","(2012) $578,512","November 6, 2018","November 3, 2020",NA,"University of Maryland",NA,NA,"Christian: Catholic","President of the board of directors of the Women's Connection"
"611",NA,NA,NA,"November 3, 2020",NA,"Oral Roberts University","U.S. Army Reserve Corps",NA,NA,"JAG officer"
"612","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"Loras College",NA,NA,NA,"Attorney"
