"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"255","$174,000",NA,"November 6, 2018","June 30, 2020",NA,"University of Colorado",NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,NA,NA,"June 30, 2020",NA,NA,"U.S. Navy","1969 - 1994","Christian","Physician"
"258",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"259",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"260","$174,000","(2012) $6,374,535","November 6, 2018","June 30, 2020",NA,"Fort Lewis College",NA,NA,NA,NA
"261",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"262",NA,NA,NA,"June 30, 2020",NA,"University of Minnesota, 1975",NA,NA,NA,"Professor, business proprietor"
"263",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,"Business"
"264",NA,NA,NA,NA,NA,"Washington State University, 1968","U.S. Air Force, Vietnam Veteran","1968 - 1972","Spiritual",NA
"265",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA,"University of Denver, 2004",NA,NA,NA,NA
"270","$174,000","(2012) $88,504","November 6, 2018","June 30, 2020",NA,"University of Kansas, 1978",NA,NA,"Christian",NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,NA,"June 30, 2020",NA,"Northern Arizona University, 2012",NA,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","$174,000",NA,"November 6, 2018","June 30, 2020",NA,NA,NA,NA,NA,"Attorney"
"276",NA,NA,NA,"November 3, 2020",NA,"Colorado University-Colorado Springs","U.S. Army",NA,"Quantum Physics",NA
"277",NA,NA,NA,NA,NA,"University of Northern Colorado, 2018",NA,NA,"Evangelical",NA
"278",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
